retrieved_at,car_park,occupied,vacant,total_occupied,total_vacant
2026-07-13 08:30:45,C,600,1448,1640,7604
2026-07-13 08:34:26,B,48,1032,1690,7554
2026-07-13 08:34:26,F,449,1097,1690,7554
2026-07-13 08:34:26,E,301,1044,1690,7554
2026-07-13 08:34:26,A,280,2945,1690,7554
2026-07-13 08:34:26,C,612,1436,1690,7554
2026-07-13 09:00:49,B,110,970,2421,6823
2026-07-13 09:00:49,F,630,916,2421,6823
2026-07-13 09:00:49,E,442,903,2421,6823
2026-07-13 09:00:49,A,427,2798,2421,6823
2026-07-13 09:00:49,C,812,1236,2421,6823
2026-07-13 09:30:41,B,232,848,3278,5966
2026-07-13 09:30:41,F,846,700,3278,5966
2026-07-13 09:30:41,E,591,754,3278,5966
2026-07-13 09:30:41,A,615,2610,3278,5966
2026-07-13 09:30:41,C,994,1054,3278,5966
2026-07-13 09:39:22,B,267,813,3505,5739
2026-07-13 09:39:22,F,910,636,3505,5739
2026-07-13 09:39:22,E,625,720,3505,5739
2026-07-13 09:39:22,A,669,2556,3505,5739
2026-07-13 09:39:22,C,1034,1014,3505,5739
2026-07-13 10:00:49,B,365,715,4048,5196
2026-07-13 10:00:49,F,1026,520,4048,5196
2026-07-13 10:00:49,E,700,645,4048,5196
2026-07-13 10:00:49,A,822,2403,4048,5196
2026-07-13 10:00:49,C,1135,913,4048,5196
2026-07-13 10:30:42,B,478,602,4527,4717
2026-07-13 10:30:42,F,1089,457,4527,4717
2026-07-13 10:30:42,E,774,571,4527,4717
2026-07-13 10:30:42,A,955,2270,4527,4717
2026-07-13 10:30:42,C,1231,817,4527,4717
2026-07-13 11:00:50,B,596,484,5106,4138
2026-07-13 11:00:50,F,1202,344,5106,4138
2026-07-13 11:00:50,E,848,497,5106,4138
2026-07-13 11:00:50,A,1135,2090,5106,4138
2026-07-13 11:00:50,C,1325,723,5106,4138
2026-07-13 11:18:18,B,657,423,5337,3907
2026-07-13 11:18:18,F,1245,301,5337,3907
2026-07-13 11:18:18,E,885,460,5337,3907
2026-07-13 11:18:18,A,1180,2045,5337,3907
2026-07-13 11:18:18,C,1370,678,5337,3907
2026-07-13 11:30:44,B,705,375,5519,3725
2026-07-13 11:30:44,F,1272,274,5519,3725
2026-07-13 11:30:44,E,909,436,5519,3725
2026-07-13 11:30:44,A,1227,1998,5519,3725
2026-07-13 11:30:44,C,1406,642,5519,3725
2026-07-13 12:00:48,B,808,272,5942,3302
2026-07-13 12:00:48,F,1318,228,5942,3302
2026-07-13 12:00:48,E,967,378,5942,3302
2026-07-13 12:00:48,A,1352,1873,5942,3302
2026-07-13 12:00:48,C,1497,551,5942,3302
2026-07-13 12:30:43,B,898,182,6234,3010
2026-07-13 12:30:43,F,1318,228,6234,3010
2026-07-13 12:30:43,E,1022,323,6234,3010
2026-07-13 12:30:43,A,1458,1767,6234,3010
2026-07-13 12:30:43,C,1538,510,6234,3010
2026-07-13 13:00:47,B,948,132,6437,2807
2026-07-13 13:00:47,F,1324,222,6437,2807
2026-07-13 13:00:47,E,1063,282,6437,2807
2026-07-13 13:00:47,A,1531,1694,6437,2807
2026-07-13 13:00:47,C,1571,477,6437,2807
2026-07-13 13:30:41,B,983,97,6554,2690
2026-07-13 13:30:41,F,1320,226,6554,2690
2026-07-13 13:30:41,E,1085,260,6554,2690
2026-07-13 13:30:41,A,1589,1636,6554,2690
2026-07-13 13:30:41,C,1577,471,6554,2690
2026-07-13 14:00:48,B,979,101,6557,2687
2026-07-13 14:00:48,F,1319,227,6557,2687
2026-07-13 14:00:48,E,1091,254,6557,2687
2026-07-13 14:00:48,A,1625,1600,6557,2687
2026-07-13 14:00:48,C,1543,505,6557,2687
2026-07-13 14:30:40,B,938,142,6338,2906
2026-07-13 14:30:40,F,1296,250,6338,2906
2026-07-13 14:30:40,E,1040,305,6338,2906
2026-07-13 14:30:40,A,1566,1659,6338,2906
2026-07-13 14:30:40,C,1498,550,6338,2906
2026-07-13 14:51:23,B,867,213,6080,3164
2026-07-13 14:51:23,F,1262,284,6080,3164
2026-07-13 14:51:23,E,998,347,6080,3164
2026-07-13 14:51:23,A,1473,1752,6080,3164
2026-07-13 14:51:23,C,1480,568,6080,3164
2026-07-13 15:00:48,B,853,227,5952,3292
2026-07-13 15:00:48,F,1243,303,5952,3292
2026-07-13 15:00:48,E,975,370,5952,3292
2026-07-13 15:00:48,A,1434,1791,5952,3292
2026-07-13 15:00:48,C,1447,601,5952,3292
2026-07-13 15:30:42,B,769,311,5485,3759
2026-07-13 15:30:42,F,1177,369,5485,3759
